"Name","Unemployment Rate "
"Description","Individuals 16 years and older actively seeking employment (within the last four weeks) who are unemployed."
"Source Notes","U.S. Census Bureau, American Community Survey 1-Year Estimates, Table C23001 (2005-2013), Table S2301 (2014-2019);&nbsp; retrieved from <a href=""https://data.census.gov/"" target=""_blank"">https://data.census.gov/</a><a href=""http://factfinder2.census.gov/"" target=""_blank""></a>."
Crown Heights North,2014,Percent,0.081,308
Brownsville,2014,Percent,0.107,316
East New York,2014,Percent,0.084,305
Canarsie,2014,Percent,0.084,318
East Flatbush,2014,Percent,0.087,317
Crown Heights South,2014,Percent,0.107,309
Sunset Park,2014,Percent,0.065,307
Bay Ridge,2014,Percent,0.074,310
Borough Park,2014,Percent,0.05,312
Flatbush/Midwood,2014,Percent,0.088,314
Sheepshead Bay,2014,Percent,0.072,315
Bensonhurst,2014,Percent,0.088,311
Coney Island,2014,Percent,0.09,313
Astoria,2014,Percent,0.09,401
Jackson Heights,2014,Percent,0.07,403
Flushing,2014,Percent,0.057,407
Bayside,2014,Percent,0.055,411
Queens Village,2014,Percent,0.076,413
Fresh Meadows/Briarwood,2014,Percent,0.088,408
Elmhurst/Corona,2014,Percent,0.055,404
Rego Park/Forest Hills,2014,Percent,0.064,406
Sunnyside/Woodside,2014,Percent,0.053,402
Ridgewood/Glendale,2014,Percent,0.07,405
Woodhaven,2014,Percent,0.077,409
Jamaica/St. Albans,2014,Percent,0.126,412
Howard Beach,2014,Percent,0.092,410
The Rockaways,2014,Percent,0.077,414
New York City,2015,Percent,0.074,3651000
Bronx,2015,Percent,0.107,36005
Brooklyn,2015,Percent,0.076,36047
Manhattan,2015,Percent,0.061,36061
Queens,2015,Percent,0.068,36081
Staten Island,2015,Percent,0.054,36085
Riverdale,2015,Percent,0.074,208
Williamsbridge,2015,Percent,0.106,212
Throgs Neck,2015,Percent,0.072,210
Pelham Parkway,2015,Percent,0.121,211
Morrisania,2015,Percent,0.157,203
East Tremont,2015,Percent,0.157,206
Bedford Park,2015,Percent,0.15,207
University Heights,2015,Percent,0.078,205
Concourse/Highbridge,2015,Percent,0.068,204
Unionport/Soundview,2015,Percent,0.118,209
Mott Haven,2015,Percent,0.114,201
Hunts Point,2015,Percent,0.114,202
Washington Heights,2015,Percent,0.089,112
Manhattanville,2015,Percent,0.076,109
Central Harlem,2015,Percent,0.116,110
East Harlem,2015,Percent,0.131,111
Upper East Side,2015,Percent,0.028,108
Upper West Side,2015,Percent,0.037,107
Chelsea/Clinton,2015,Percent,0.048,104
Midtown Business District,2015,Percent,0.048,105
Murray Hill/Stuyvesant,2015,Percent,0.037,106
Lower East Side,2015,Percent,0.065,103
Battery Park/Tribeca,2015,Percent,0.042,101
Greenwich Village,2015,Percent,0.042,102
Tottenville,2015,Percent,0.056,503
South Beach,2015,Percent,0.049,502
St. George,2015,Percent,0.055,501
Williamsburg/Greenpoint,2015,Percent,0.052,301
Bushwick,2015,Percent,0.085,304
Bedford Stuyvesant,2015,Percent,0.12,303
Fort Greene/Brooklyn Hts,2015,Percent,0.071,302
Park Slope,2015,Percent,0.046,306
Crown Heights North,2015,Percent,0.063,308
Brownsville,2015,Percent,0.138,316
East New York,2015,Percent,0.065,305
Canarsie,2015,Percent,0.062,318
East Flatbush,2015,Percent,0.08,317
Crown Heights South,2015,Percent,0.094,309
Sunset Park,2015,Percent,0.059,307
Bay Ridge,2015,Percent,0.077,310
Borough Park,2015,Percent,0.059,312
Flatbush/Midwood,2015,Percent,0.073,314
Sheepshead Bay,2015,Percent,0.076,315
Bensonhurst,2015,Percent,0.073,311
Coney Island,2015,Percent,0.13,313
Astoria,2015,Percent,0.061,401
Jackson Heights,2015,Percent,0.05,403
Flushing,2015,Percent,0.047,407
Bayside,2015,Percent,0.062,411
Queens Village,2015,Percent,0.075,413
Fresh Meadows/Briarwood,2015,Percent,0.09,408
Elmhurst/Corona,2015,Percent,0.057,404
Rego Park/Forest Hills,2015,Percent,0.053,406
Sunnyside/Woodside,2015,Percent,0.047,402
Ridgewood/Glendale,2015,Percent,0.052,405
Woodhaven,2015,Percent,0.069,409
Jamaica/St. Albans,2015,Percent,0.111,412
Howard Beach,2015,Percent,0.082,410
The Rockaways,2015,Percent,0.098,414
Battery Park/Tribeca,2016,Percent,0.039,101
Greenwich Village,2016,Percent,0.039,102
Lower East Side,2016,Percent,0.056,103
Chelsea/Clinton,2016,Percent,0.033,104
Midtown Business District,2016,Percent,0.033,105
Murray Hill/Stuyvesant,2016,Percent,0.033,106
Upper West Side,2016,Percent,0.052,107
Upper East Side,2016,Percent,0.034,108
Manhattanville,2016,Percent,0.074,109
Central Harlem,2016,Percent,0.081,110
East Harlem,2016,Percent,0.073,111
Washington Heights,2016,Percent,0.09,112
Mott Haven,2016,Percent,0.106,201
Hunts Point,2016,Percent,0.106,202
Morrisania,2016,Percent,0.116,203
Concourse/Highbridge,2016,Percent,0.116,204
University Heights,2016,Percent,0.127,205
East Tremont,2016,Percent,0.116,206
Bedford Park,2016,Percent,0.107,207
Riverdale,2016,Percent,0.066,208
Unionport/Soundview,2016,Percent,0.096,209
Throgs Neck,2016,Percent,0.084,210
Pelham Parkway,2016,Percent,0.085,211
Williamsbridge,2016,Percent,0.092,212
Williamsburg/Greenpoint,2016,Percent,0.061,301
Fort Greene/Brooklyn Hts,2016,Percent,0.063,302
Bedford Stuyvesant,2016,Percent,0.085,303
Bushwick,2016,Percent,0.074,304
East New York,2016,Percent,0.08,305
Park Slope,2016,Percent,0.054,306
Sunset Park,2016,Percent,0.053,307
Crown Heights North,2016,Percent,0.068,308
Crown Heights South,2016,Percent,0.079,309
Bay Ridge,2016,Percent,0.068,310
Bensonhurst,2016,Percent,0.061,311
Borough Park,2016,Percent,0.051,312
Coney Island,2016,Percent,0.095,313
Flatbush/Midwood,2016,Percent,0.064,314
Sheepshead Bay,2016,Percent,0.075,315
Brownsville,2016,Percent,0.14,316
East Flatbush,2016,Percent,0.072,317
Canarsie,2016,Percent,0.068,318
Astoria,2016,Percent,0.056,401
Sunnyside/Woodside,2016,Percent,0.035,402
Jackson Heights,2016,Percent,0.051,403
Elmhurst/Corona,2016,Percent,0.045,404
Ridgewood/Glendale,2016,Percent,0.044,405
Rego Park/Forest Hills,2016,Percent,0.044,406
Flushing,2016,Percent,0.042,407
Fresh Meadows/Briarwood,2016,Percent,0.099,408
Woodhaven,2016,Percent,0.055,409
Howard Beach,2016,Percent,0.089,410
Bayside,2016,Percent,0.027,411
Jamaica/St. Albans,2016,Percent,0.091,412
Queens Village,2016,Percent,0.065,413
The Rockaways,2016,Percent,0.09,414
St. George,2016,Percent,0.047,501
South Beach,2016,Percent,0.053,502
Tottenville,2016,Percent,0.052,503
Bronx,2016,Percent,0.1,36005
Brooklyn,2016,Percent,0.071,36047
Manhattan,2016,Percent,0.055,36061
Queens,2016,Percent,0.06,36081
Staten Island,2016,Percent,0.051,36085
New York City,2016,Percent,0.068,3651000
Riverdale,2017,Percent,0.082,208
Williamsbridge,2017,Percent,0.072,212
Throgs Neck,2017,Percent,0.077,210
Pelham Parkway,2017,Percent,0.099,211
Morrisania,2017,Percent,0.145,203
East Tremont,2017,Percent,0.145,206
Bedford Park,2017,Percent,0.107,207
University Heights,2017,Percent,0.16,205
Concourse/Highbridge,2017,Percent,0.125,204
Unionport/Soundview,2017,Percent,0.085,209
Mott Haven,2017,Percent,0.135,201
Hunts Point,2017,Percent,0.135,202
Washington Heights,2017,Percent,0.087,112
Manhattanville,2017,Percent,0.057,109
Central Harlem,2017,Percent,0.082,110
East Harlem,2017,Percent,0.089,111
Upper East Side,2017,Percent,0.021,108
Upper West Side,2017,Percent,0.048,107
Chelsea/Clinton,2017,Percent,0.048,104
Midtown Business District,2017,Percent,0.048,105
Murray Hill/Stuyvesant,2017,Percent,0.039,106
Lower East Side,2017,Percent,0.063,103
Battery Park/Tribeca,2017,Percent,0.026,101
Greenwich Village,2017,Percent,0.026,102
Tottenville,2017,Percent,0.044,503
South Beach,2017,Percent,0.048,502
St. George,2017,Percent,0.039,501
Williamsburg/Greenpoint,2017,Percent,0.055,301
Bushwick,2017,Percent,0.052,304
Bedford Stuyvesant,2017,Percent,0.047,303
Fort Greene/Brooklyn Hts,2017,Percent,0.056,302
Park Slope,2017,Percent,0.042,306
Crown Heights North,2017,Percent,0.068,308
Brownsville,2017,Percent,0.207,316
East New York,2017,Percent,0.09,305
Canarsie,2017,Percent,0.053,318
East Flatbush,2017,Percent,0.059,317
Crown Heights South,2017,Percent,0.078,309
Sunset Park,2017,Percent,0.067,307
Bay Ridge,2017,Percent,0.047,310
Borough Park,2017,Percent,0.052,312
Flatbush/Midwood,2017,Percent,0.062,314
Sheepshead Bay,2017,Percent,0.052,315
Bensonhurst,2017,Percent,0.061,311
Coney Island,2017,Percent,0.061,313
Astoria,2017,Percent,0.046,401
Jackson Heights,2017,Percent,0.042,403
Flushing,2017,Percent,0.026,407
Bayside,2017,Percent,0.049,411
Queens Village,2017,Percent,0.075,413
Fresh Meadows/Briarwood,2017,Percent,0.058,408
Elmhurst/Corona,2017,Percent,0.043,404
Rego Park/Forest Hills,2017,Percent,0.03,406
Sunnyside/Woodside,2017,Percent,0.03,402
Ridgewood/Glendale,2017,Percent,0.048,405
Woodhaven,2017,Percent,0.059,409
Jamaica/St. Albans,2017,Percent,0.074,412
Howard Beach,2017,Percent,0.054,410
The Rockaways,2017,Percent,0.1,414
Bronx,2017,Percent,0.109,36005
Brooklyn,2017,Percent,0.064,36047
Manhattan,2017,Percent,0.054,36061
Queens,2017,Percent,0.052,36081
Staten Island,2017,Percent,0.043,36085
New York City,2017,Percent,0.064,3651000
Riverdale,2018,Percent,0.087,208
Williamsbridge,2018,Percent,0.094,212
Throgs Neck,2018,Percent,0.071,210
Pelham Parkway,2018,Percent,0.069,211
Morrisania,2018,Percent,0.133,203
East Tremont,2018,Percent,0.133,206
Bedford Park,2018,Percent,0.098,207
University Heights,2018,Percent,0.135,205
Concourse/Highbridge,2018,Percent,0.105,204
Unionport/Soundview,2018,Percent,0.076,209
Mott Haven,2018,Percent,0.14,201
Hunts Point,2018,Percent,0.14,202
Washington Heights,2018,Percent,0.083,112
Manhattanville,2018,Percent,0.044,109
Central Harlem,2018,Percent,0.053,110
East Harlem,2018,Percent,0.065,111
Upper East Side,2018,Percent,0.027,108
Upper West Side,2018,Percent,0.051,107
Chelsea/Clinton,2018,Percent,0.053,104
Midtown Business District,2018,Percent,0.053,105
Murray Hill/Stuyvesant,2018,Percent,0.027,106
Lower East Side,2018,Percent,0.06,103
Battery Park/Tribeca,2018,Percent,0.037,101
Greenwich Village,2018,Percent,0.037,102
Tottenville,2018,Percent,0.028,503
South Beach,2018,Percent,0.038,502
St. George,2018,Percent,0.055,501
Williamsburg/Greenpoint,2018,Percent,0.024,301
Bushwick,2018,Percent,0.038,304
Bedford Stuyvesant,2018,Percent,0.058,303
Fort Greene/Brooklyn Hts,2018,Percent,0.051,302
Park Slope,2018,Percent,0.055,306
Crown Heights North,2018,Percent,0.055,308
Brownsville,2018,Percent,0.064,316
East New York,2018,Percent,0.056,305
Canarsie,2018,Percent,0.048,318
East Flatbush,2018,Percent,0.048,317
Crown Heights South,2018,Percent,0.047,309
Sunset Park,2018,Percent,0.053,307
Bay Ridge,2018,Percent,0.036,310
Borough Park,2018,Percent,0.042,312
Flatbush/Midwood,2018,Percent,0.048,314
Sheepshead Bay,2018,Percent,0.045,315
Bensonhurst,2018,Percent,0.058,311
Coney Island,2018,Percent,0.055,313
Astoria,2018,Percent,0.044,401
Jackson Heights,2018,Percent,0.05,403
Flushing,2018,Percent,0.045,407
Bayside,2018,Percent,0.035,411
Queens Village,2018,Percent,0.06,413
Fresh Meadows/Briarwood,2018,Percent,0.071,408
Elmhurst/Corona,2018,Percent,0.04,404
Rego Park/Forest Hills,2018,Percent,0.037,406
Sunnyside/Woodside,2018,Percent,0.043,402
Ridgewood/Glendale,2018,Percent,0.041,405
Woodhaven,2018,Percent,0.053,409
Jamaica/St. Albans,2018,Percent,0.071,412
Howard Beach,2018,Percent,0.056,410
The Rockaways,2018,Percent,0.075,414
Bronx,2018,Percent,0.101,36005
Brooklyn,2018,Percent,0.049,36047
Manhattan,2018,Percent,0.049,36061
Queens,2018,Percent,0.052,36081
Staten Island,2018,Percent,0.041,36085
New York City,2018,Percent,0.057,3651000
Battery Park/Tribeca,2019,Percent,0.043,101
Greenwich Village,2019,Percent,0.043,102
Lower East Side,2019,Percent,0.052,103
Chelsea/Clinton,2019,Percent,0.026,104
Midtown Business District,2019,Percent,0.026,105
Murray Hill/Stuyvesant,2019,Percent,0.013,106
Upper West Side,2019,Percent,0.023,107
Upper East Side,2019,Percent,0.02,108
Manhattanville,2019,Percent,0.068,109
Central Harlem,2019,Percent,0.087,110
East Harlem,2019,Percent,0.061,111
Washington Heights,2019,Percent,0.062,112
Mott Haven,2019,Percent,0.113,201
Hunts Point,2019,Percent,0.113,202
Morrisania,2019,Percent,0.115,203
Concourse/Highbridge,2019,Percent,0.096,204
University Heights,2019,Percent,0.116,205
East Tremont,2019,Percent,0.115,206
Bedford Park,2019,Percent,0.117,207
Riverdale,2019,Percent,0.056,208
Unionport/Soundview,2019,Percent,0.069,209
Throgs Neck,2019,Percent,0.045,210
Pelham Parkway,2019,Percent,0.081,211
Williamsbridge,2019,Percent,0.083,212
Williamsburg/Greenpoint,2019,Percent,0.04,301
Fort Greene/Brooklyn Hts,2019,Percent,0.063,302
Bedford Stuyvesant,2019,Percent,0.066,303
Bushwick,2019,Percent,0.063,304
East New York,2019,Percent,0.039,305
Park Slope,2019,Percent,0.034,306
Sunset Park,2019,Percent,0.033,307
Crown Heights North,2019,Percent,0.041,308
Crown Heights South,2019,Percent,0.045,309
Bay Ridge,2019,Percent,0.036,310
Bensonhurst,2019,Percent,0.045,311
Borough Park,2019,Percent,0.04,312
Coney Island,2019,Percent,0.044,313
Flatbush/Midwood,2019,Percent,0.036,314
Sheepshead Bay,2019,Percent,0.038,315
Brownsville,2019,Percent,0.076,316
East Flatbush,2019,Percent,0.05,317
Canarsie,2019,Percent,0.032,318
Astoria,2019,Percent,0.034,401
Sunnyside/Woodside,2019,Percent,0.039,402
Jackson Heights,2019,Percent,0.044,403
Elmhurst/Corona,2019,Percent,0.036,404
Ridgewood/Glendale,2019,Percent,0.031,405
Rego Park/Forest Hills,2019,Percent,0.038,406
Flushing,2019,Percent,0.045,407
Fresh Meadows/Briarwood,2019,Percent,0.055,408
Woodhaven,2019,Percent,0.052,409
Howard Beach,2019,Percent,0.045,410
Bayside,2019,Percent,0.039,411
Jamaica/St. Albans,2019,Percent,0.066,412
Queens Village,2019,Percent,0.054,413
The Rockaways,2019,Percent,0.063,414
St. George,2019,Percent,0.051,501
South Beach,2019,Percent,0.036,502
Tottenville,2019,Percent,0.031,503
Bronx,2019,Percent,0.091,36005
Brooklyn,2019,Percent,0.045,36047
Manhattan,2019,Percent,0.042,36061
Queens,2019,Percent,0.046,36081
Staten Island,2019,Percent,0.04,36085
New York City,2019,Percent,0.052,3651000
