"Name","Graduation Rate by English Language Proficiency"
"Description","New York City public high school students who graduated as of June after four years of instruction.<br />
<br />
English Language Learners are students that classified as ELL as of graduation. English Language Proficient students includes students that never classified as ELLs, and students were declassified more than two year prior. Former English Language Learners are students who were classified as ELL in the prior two school years and are no longer ELL.&nbsp;"
"Source Notes","New York City Department of Education, Graduation Results (School Years 2004-05 to 2018-19); retrieved from&nbsp;<a href=""http://schools.nyc.gov/Accountability/data/GraduationDropoutReports/default.ht""></a><a href=""https://infohub.nyced.org/reports-and-policies/citywide-information-and-data/graduation-results"">https://infohub.nyced.org/reports-and-policies/citywide-information-and-data/graduation-results</a>&nbsp;<a href=""http://schools.nyc.gov/Accountability/data/GraduationDropoutReports/default.ht""></a><a href=""http://schools.nyc.gov/Accountability/data/GraduationDropoutReports/default.ht""></a>"
"Notes","All data represent outcomes as of June after four years of instruction. In order to comply with FERPA regulations on public reporting of education outcomes, breakdowns where the number of students in the cohort is 5 or less are suppressed and maps and tables display ""no data"" or ""0"".<br />
<br />
Graduation rates for Former ELLs are not reported prior to 2009."
"Williamsburg, Greenpoint",English Language Proficient,2019,Percent,0.81447,SD14
"S. Brooklyn, Park Slope, Sunset Park",English Language Learners,2019,Percent,0.24561,SD15
"S. Brooklyn, Park Slope, Sunset Park",Former English Language Learners,2019,Percent,0.77778,SD15
"S. Brooklyn, Park Slope, Sunset Park",English Language Proficient,2019,Percent,0.70482,SD15
Bedford Stuyvesant,English Language Learners,2019,Percent,0.25,SD16
Bedford Stuyvesant,Former English Language Learners,2019,Percent,0.44444,SD16
Bedford Stuyvesant,English Language Proficient,2019,Percent,0.55315,SD16
Crown Heights,English Language Learners,2019,Percent,0.31544,SD17
Crown Heights,Former English Language Learners,2019,Percent,0.90526,SD17
Crown Heights,English Language Proficient,2019,Percent,0.75351,SD17
"East Flatbush, Canarsie",English Language Learners,2019,Percent,0.33028,SD18
"East Flatbush, Canarsie",Former English Language Learners,2019,Percent,0.84746,SD18
"East Flatbush, Canarsie",English Language Proficient,2019,Percent,0.6,SD18
East New York,English Language Learners,2019,Percent,0.54902,SD19
East New York,Former English Language Learners,2019,Percent,0.94937,SD19
East New York,English Language Proficient,2019,Percent,0.7456,SD19
"Bay Ridge, Bensonhurst",English Language Learners,2019,Percent,0.2758,SD20
"Bay Ridge, Bensonhurst",Former English Language Learners,2019,Percent,0.8671,SD20
"Bay Ridge, Bensonhurst",English Language Proficient,2019,Percent,0.80624,SD20
"Gravesend, Coney Island",English Language Learners,2019,Percent,0.40625,SD21
"Gravesend, Coney Island",Former English Language Learners,2019,Percent,0.85489,SD21
"Gravesend, Coney Island",English Language Proficient,2019,Percent,0.76507,SD21
"Flatbush, Midwood, Sheepshead Bay",English Language Learners,2019,Percent,0.28261,SD22
"Flatbush, Midwood, Sheepshead Bay",Former English Language Learners,2019,Percent,0.82143,SD22
"Flatbush, Midwood, Sheepshead Bay",English Language Proficient,2019,Percent,0.84866,SD22
"Brownsville, Ocean Hill",English Language Learners,2019,Percent,0,SD23
"Brownsville, Ocean Hill",Former English Language Learners,2019,Percent,0,SD23
"Brownsville, Ocean Hill",English Language Proficient,2019,Percent,0.40691,SD23
"Sunnyside, Woodside, Jackson Hts",English Language Learners,2019,Percent,0.40929,SD24
"Sunnyside, Woodside, Jackson Hts",Former English Language Learners,2019,Percent,0.92163,SD24
"Sunnyside, Woodside, Jackson Hts",English Language Proficient,2019,Percent,0.7955,SD24
"Flushing, Whitestone",English Language Learners,2019,Percent,0.35588,SD25
"Flushing, Whitestone",Former English Language Learners,2019,Percent,0.84351,SD25
"Flushing, Whitestone",English Language Proficient,2019,Percent,0.75135,SD25
"Bayside, Douglaston, Little Neck",English Language Learners,2019,Percent,0.37063,SD26
"Bayside, Douglaston, Little Neck",Former English Language Learners,2019,Percent,0.90456,SD26
"Bayside, Douglaston, Little Neck",English Language Proficient,2019,Percent,0.88585,SD26
"Jamaica, Howard Beach, Rockaways",English Language Learners,2019,Percent,0.3283,SD27
"Jamaica, Howard Beach, Rockaways",Former English Language Learners,2019,Percent,0.91837,SD27
"Jamaica, Howard Beach, Rockaways",English Language Proficient,2019,Percent,0.73624,SD27
"Jamaica, Forest Hills",English Language Learners,2019,Percent,0.30734,SD28
"Jamaica, Forest Hills",Former English Language Learners,2019,Percent,0.83721,SD28
"Jamaica, Forest Hills",English Language Proficient,2019,Percent,0.84052,SD28
"Queens Village, Rosedale, Hollis",English Language Learners,2019,Percent,0.36735,SD29
"Queens Village, Rosedale, Hollis",Former English Language Learners,2019,Percent,0.95122,SD29
"Queens Village, Rosedale, Hollis",English Language Proficient,2019,Percent,0.7552,SD29
"Long Island City, Astoria",English Language Learners,2019,Percent,0.34454,SD30
"Long Island City, Astoria",Former English Language Learners,2019,Percent,0.89493,SD30
"Long Island City, Astoria",English Language Proficient,2019,Percent,0.8231,SD30
Staten Island,English Language Learners,2019,Percent,0.24812,SD31
Staten Island,Former English Language Learners,2019,Percent,0.78947,SD31
Staten Island,English Language Proficient,2019,Percent,0.82899,SD31
Bushwick,English Language Learners,2019,Percent,0.44444,SD32
Bushwick,Former English Language Learners,2019,Percent,0.98,SD32
Bushwick,English Language Proficient,2019,Percent,0.66242,SD32
New York City,English Language Learners,2018,Percent,0.29065,3651000
New York City,Former English Language Learners,2018,Percent,0.8504,3651000
New York City,English Language Proficient,2018,Percent,0.7639,3651000
Bronx,English Language Learners,2018,Percent,0.29776,36005
Bronx,Former English Language Learners,2018,Percent,0.8291,36005
Bronx,English Language Proficient,2018,Percent,0.67789,36005
Brooklyn,English Language Proficient,2018,Percent,0.30971,36047
Brooklyn,Former English Language Learners,2018,Percent,0.85725,36047
Brooklyn,English Language Learners,2018,Percent,0.75881,36047
Manhattan,English Language Proficient,2018,Percent,0.24538,36061
Manhattan,Former English Language Learners,2018,Percent,0.84565,36061
Manhattan,English Language Learners,2018,Percent,0.77799,36061
Queens,English Language Proficient,2018,Percent,0.30752,36081
Queens,Former English Language Learners,2018,Percent,0.86477,36081
Queens,English Language Learners,2018,Percent,0.80272,36081
Staten Island,English Language Proficient,2018,Percent,0.14545,36085
Staten Island,Former English Language Learners,2018,Percent,0.81818,36085
Staten Island,English Language Learners,2018,Percent,0.80514,36085
Lower East Side,English Language Learners,2018,Percent,0.15,SD1
Lower East Side,Former English Language Learners,2018,Percent,0.86957,SD1
Lower East Side,English Language Proficient,2018,Percent,0.71725,SD1
"Stuyvesant Town, Upper E. Side",English Language Learners,2018,Percent,0.24531,SD2
"Stuyvesant Town, Upper E. Side",Former English Language Learners,2018,Percent,0.85009,SD2
"Stuyvesant Town, Upper E. Side",English Language Proficient,2018,Percent,0.7925,SD2
Upper West Side,English Language Learners,2018,Percent,0.20513,SD3
Upper West Side,Former English Language Learners,2018,Percent,0.72973,SD3
Upper West Side,English Language Proficient,2018,Percent,0.77279,SD3
East Harlem,English Language Learners,2018,Percent,0.28571,SD4
East Harlem,Former English Language Learners,2018,Percent,0.91935,SD4
East Harlem,English Language Proficient,2018,Percent,0.84895,SD4
Central Harlem,English Language Learners,2018,Percent,0.0566,SD5
Central Harlem,Former English Language Learners,2018,Percent,0.7,SD5
Central Harlem,English Language Proficient,2018,Percent,0.66667,SD5
Washington Heights,English Language Learners,2018,Percent,0.32993,SD6
Washington Heights,Former English Language Learners,2018,Percent,0.88304,SD6
Washington Heights,English Language Proficient,2018,Percent,0.7509,SD6
Mott Haven,English Language Learners,2018,Percent,0.31081,SD7
Mott Haven,Former English Language Learners,2018,Percent,0.72807,SD7
Mott Haven,English Language Proficient,2018,Percent,0.60516,SD7
"Hunts Point, Port Morris",English Language Learners,2018,Percent,0.22526,SD8
"Hunts Point, Port Morris",Former English Language Learners,2018,Percent,0.79339,SD8
"Hunts Point, Port Morris",English Language Proficient,2018,Percent,0.57134,SD8
"East Tremont, Morris Heights",English Language Learners,2018,Percent,0.34309,SD9
"East Tremont, Morris Heights",Former English Language Learners,2018,Percent,0.86705,SD9
"East Tremont, Morris Heights",English Language Proficient,2018,Percent,0.68996,SD9
"Riverdale, Kingsbridge, Fordham",English Language Learners,2018,Percent,0.31282,SD10
"Riverdale, Kingsbridge, Fordham",Former English Language Learners,2018,Percent,0.86834,SD10
"Riverdale, Kingsbridge, Fordham",English Language Proficient,2018,Percent,0.79381,SD10
"Eastchester, Baychester, Co-op City",English Language Learners,2018,Percent,0.29714,SD11
"Eastchester, Baychester, Co-op City",Former English Language Learners,2018,Percent,0.83108,SD11
"Eastchester, Baychester, Co-op City",English Language Proficient,2018,Percent,0.7075,SD11
"Crotona Park, Morrisania, Melrose",English Language Learners,2018,Percent,0.27445,SD12
"Crotona Park, Morrisania, Melrose",Former English Language Learners,2018,Percent,0.80537,SD12
"Crotona Park, Morrisania, Melrose",English Language Proficient,2018,Percent,0.56225,SD12
"Brooklyn Hts, Downtown Brooklyn",English Language Learners,2018,Percent,0.40984,SD13
"Brooklyn Hts, Downtown Brooklyn",Former English Language Learners,2018,Percent,0.87143,SD13
"Brooklyn Hts, Downtown Brooklyn",English Language Proficient,2018,Percent,0.8294,SD13
"Williamsburg, Greenpoint",English Language Learners,2018,Percent,0.42553,SD14
"Williamsburg, Greenpoint",Former English Language Learners,2018,Percent,0.93333,SD14
"Williamsburg, Greenpoint",English Language Proficient,2018,Percent,0.82609,SD14
"S. Brooklyn, Park Slope, Sunset Park",English Language Learners,2018,Percent,0.27711,SD15
"S. Brooklyn, Park Slope, Sunset Park",Former English Language Learners,2018,Percent,0.8172,SD15
"S. Brooklyn, Park Slope, Sunset Park",English Language Proficient,2018,Percent,0.68413,SD15
Bedford Stuyvesant,English Language Learners,2018,Percent,0.27273,SD16
Bedford Stuyvesant,Former English Language Learners,2018,Percent,0.75,SD16
Bedford Stuyvesant,English Language Proficient,2018,Percent,0.60451,SD16
Crown Heights,English Language Learners,2018,Percent,0.31579,SD17
Crown Heights,Former English Language Learners,2018,Percent,0.93396,SD17
Crown Heights,English Language Proficient,2018,Percent,0.76715,SD17
"East Flatbush, Canarsie",English Language Learners,2018,Percent,0.1831,SD18
"East Flatbush, Canarsie",Former English Language Learners,2018,Percent,0.79167,SD18
"East Flatbush, Canarsie",English Language Proficient,2018,Percent,0.61005,SD18
East New York,English Language Learners,2018,Percent,0.45333,SD19
East New York,Former English Language Learners,2018,Percent,0.84615,SD19
East New York,English Language Proficient,2018,Percent,0.70038,SD19
"Bay Ridge, Bensonhurst",English Language Learners,2018,Percent,0.2389,SD20
"Bay Ridge, Bensonhurst",Former English Language Learners,2018,Percent,0.86585,SD20
"Bay Ridge, Bensonhurst",English Language Proficient,2018,Percent,0.79642,SD20
"Gravesend, Coney Island",English Language Learners,2018,Percent,0.341,SD21
"Gravesend, Coney Island",Former English Language Learners,2018,Percent,0.84539,SD21
"Gravesend, Coney Island",English Language Proficient,2018,Percent,0.77441,SD21
"Flatbush, Midwood, Sheepshead Bay",English Language Learners,2018,Percent,0.20721,SD22
"Flatbush, Midwood, Sheepshead Bay",Former English Language Learners,2018,Percent,0.79508,SD22
"Flatbush, Midwood, Sheepshead Bay",English Language Proficient,2018,Percent,0.83748,SD22
"Brownsville, Ocean Hill",English Language Learners,2018,Percent,0,SD23
"Brownsville, Ocean Hill",Former English Language Learners,2018,Percent,0,SD23
"Brownsville, Ocean Hill",English Language Proficient,2018,Percent,0.47835,SD23
"Sunnyside, Woodside, Jackson Hts",English Language Learners,2018,Percent,0.31991,SD24
"Sunnyside, Woodside, Jackson Hts",Former English Language Learners,2018,Percent,0.86,SD24
"Sunnyside, Woodside, Jackson Hts",English Language Proficient,2018,Percent,0.79595,SD24
"Flushing, Whitestone",English Language Learners,2018,Percent,0.3142,SD25
"Flushing, Whitestone",Former English Language Learners,2018,Percent,0.87347,SD25
"Flushing, Whitestone",English Language Proficient,2018,Percent,0.72297,SD25
"Bayside, Douglaston, Little Neck",English Language Learners,2018,Percent,0.31056,SD26
"Bayside, Douglaston, Little Neck",Former English Language Learners,2018,Percent,0.87843,SD26
"Bayside, Douglaston, Little Neck",English Language Proficient,2018,Percent,0.883,SD26
"Jamaica, Howard Beach, Rockaways",English Language Learners,2018,Percent,0.32414,SD27
"Jamaica, Howard Beach, Rockaways",Former English Language Learners,2018,Percent,0.81395,SD27
"Jamaica, Howard Beach, Rockaways",English Language Proficient,2018,Percent,0.74592,SD27
"Jamaica, Forest Hills",English Language Learners,2018,Percent,0.26961,SD28
"Jamaica, Forest Hills",Former English Language Learners,2018,Percent,0.85096,SD28
"Jamaica, Forest Hills",English Language Proficient,2018,Percent,0.82847,SD28
"Queens Village, Rosedale, Hollis",English Language Learners,2018,Percent,0.25,SD29
"Queens Village, Rosedale, Hollis",Former English Language Learners,2018,Percent,0.97059,SD29
"Queens Village, Rosedale, Hollis",English Language Proficient,2018,Percent,0.72511,SD29
"Long Island City, Astoria",English Language Learners,2018,Percent,0.30068,SD30
"Long Island City, Astoria",Former English Language Learners,2018,Percent,0.8733,SD30
"Long Island City, Astoria",English Language Proficient,2018,Percent,0.83096,SD30
Staten Island,English Language Learners,2018,Percent,0.14545,SD31
Staten Island,Former English Language Learners,2018,Percent,0.81818,SD31
Staten Island,English Language Proficient,2018,Percent,0.80514,SD31
Bushwick,English Language Learners,2018,Percent,0.35606,SD32
Bushwick,Former English Language Learners,2018,Percent,0.9,SD32
Bushwick,English Language Proficient,2018,Percent,0.68715,SD32
New York City,English Language Learners,2017,Percent,0.27527,3651000
New York City,Former English Language Learners,2017,Percent,0.84685,3651000
New York City,English Language Proficient,2017,Percent,0.74706,3651000
Bronx,English Language Learners,2017,Percent,0.27309,36005
Bronx,Former English Language Learners,2017,Percent,0.85464,36005
Bronx,English Language Proficient,2017,Percent,0.66968,36005
Brooklyn,English Language Proficient,2017,Percent,0.30069,36047
Brooklyn,Former English Language Learners,2017,Percent,0.84063,36047
Brooklyn,English Language Learners,2017,Percent,0.73636,36047
Manhattan,English Language Proficient,2017,Percent,0.22535,36061
Manhattan,Former English Language Learners,2017,Percent,0.83117,36061
Manhattan,English Language Learners,2017,Percent,0.76129,36061
Queens,English Language Proficient,2017,Percent,0.29123,36081
Queens,Former English Language Learners,2017,Percent,0.86667,36081
Queens,English Language Learners,2017,Percent,0.7848,36081
Staten Island,English Language Proficient,2017,Percent,0.28723,36085
Staten Island,Former English Language Learners,2017,Percent,0.68293,36085
Staten Island,English Language Learners,2017,Percent,0.8,36085
Lower East Side,English Language Learners,2017,Percent,0.25143,SD1
Lower East Side,Former English Language Learners,2017,Percent,0.8,SD1
Lower East Side,English Language Proficient,2017,Percent,0.6467,SD1
"Stuyvesant Town, Upper E. Side",English Language Learners,2017,Percent,0.20579,SD2
"Stuyvesant Town, Upper E. Side",Former English Language Learners,2017,Percent,0.82294,SD2
"Stuyvesant Town, Upper E. Side",English Language Proficient,2017,Percent,0.77242,SD2
Upper West Side,English Language Learners,2017,Percent,0.33784,SD3
Upper West Side,Former English Language Learners,2017,Percent,0.83333,SD3
Upper West Side,English Language Proficient,2017,Percent,0.77565,SD3
East Harlem,English Language Learners,2017,Percent,0.30952,SD4
East Harlem,Former English Language Learners,2017,Percent,0.91837,SD4
East Harlem,English Language Proficient,2017,Percent,0.86395,SD4
Central Harlem,English Language Learners,2017,Percent,0.18519,SD5
Central Harlem,Former English Language Learners,2017,Percent,0.68421,SD5
Central Harlem,English Language Proficient,2017,Percent,0.68393,SD5
Washington Heights,English Language Learners,2017,Percent,0.22022,SD6
Washington Heights,Former English Language Learners,2017,Percent,0.85606,SD6
Washington Heights,English Language Proficient,2017,Percent,0.71312,SD6
Mott Haven,English Language Learners,2017,Percent,0.21739,SD7
Mott Haven,Former English Language Learners,2017,Percent,0.74038,SD7
Mott Haven,English Language Proficient,2017,Percent,0.59987,SD7
"Hunts Point, Port Morris",English Language Learners,2017,Percent,0.13953,SD8
"Hunts Point, Port Morris",Former English Language Learners,2017,Percent,0.75714,SD8
"Hunts Point, Port Morris",English Language Proficient,2017,Percent,0.56261,SD8
"East Tremont, Morris Heights",English Language Learners,2017,Percent,0.34571,SD9
"East Tremont, Morris Heights",Former English Language Learners,2017,Percent,0.94706,SD9
"East Tremont, Morris Heights",English Language Proficient,2017,Percent,0.69871,SD9
"Riverdale, Kingsbridge, Fordham",English Language Learners,2017,Percent,0.28862,SD10
"Riverdale, Kingsbridge, Fordham",Former English Language Learners,2017,Percent,0.86957,SD10
"Riverdale, Kingsbridge, Fordham",English Language Proficient,2017,Percent,0.77427,SD10
"Eastchester, Baychester, Co-op City",English Language Learners,2017,Percent,0.32237,SD11
"Eastchester, Baychester, Co-op City",Former English Language Learners,2017,Percent,0.87611,SD11
"Eastchester, Baychester, Co-op City",English Language Proficient,2017,Percent,0.69061,SD11
"Crotona Park, Morrisania, Melrose",English Language Learners,2017,Percent,0.26616,SD12
"Crotona Park, Morrisania, Melrose",Former English Language Learners,2017,Percent,0.82883,SD12
"Crotona Park, Morrisania, Melrose",English Language Proficient,2017,Percent,0.57236,SD12
"Brooklyn Hts, Downtown Brooklyn",English Language Learners,2017,Percent,0.4,SD13
"Brooklyn Hts, Downtown Brooklyn",Former English Language Learners,2017,Percent,0.92857,SD13
"Brooklyn Hts, Downtown Brooklyn",English Language Proficient,2017,Percent,0.83526,SD13
"Williamsburg, Greenpoint",English Language Learners,2017,Percent,0.35507,SD14
"Williamsburg, Greenpoint",Former English Language Learners,2017,Percent,0.76,SD14
"Williamsburg, Greenpoint",English Language Proficient,2017,Percent,0.79704,SD14
"S. Brooklyn, Park Slope, Sunset Park",English Language Learners,2017,Percent,0.26667,SD15
"S. Brooklyn, Park Slope, Sunset Park",Former English Language Learners,2017,Percent,0.76563,SD15
"S. Brooklyn, Park Slope, Sunset Park",English Language Proficient,2017,Percent,0.68147,SD15
Bedford Stuyvesant,English Language Learners,2017,Percent,0.16667,SD16
Bedford Stuyvesant,Former English Language Learners,2017,Percent,0.71429,SD16
Bedford Stuyvesant,English Language Proficient,2017,Percent,0.51329,SD16
Crown Heights,English Language Learners,2017,Percent,0.35507,SD17
Crown Heights,Former English Language Learners,2017,Percent,0.87879,SD17
Crown Heights,English Language Proficient,2017,Percent,0.72518,SD17
"East Flatbush, Canarsie",English Language Learners,2017,Percent,0.44444,SD18
"East Flatbush, Canarsie",Former English Language Learners,2017,Percent,0.80435,SD18
"East Flatbush, Canarsie",English Language Proficient,2017,Percent,0.61866,SD18
East New York,English Language Learners,2017,Percent,0.30769,SD19
East New York,Former English Language Learners,2017,Percent,0.84314,SD19
East New York,English Language Proficient,2017,Percent,0.63273,SD19
"Bay Ridge, Bensonhurst",English Language Learners,2017,Percent,0.25265,SD20
"Bay Ridge, Bensonhurst",Former English Language Learners,2017,Percent,0.86018,SD20
"Bay Ridge, Bensonhurst",English Language Proficient,2017,Percent,0.7758,SD20
"Gravesend, Coney Island",English Language Learners,2017,Percent,0.28627,SD21
"Gravesend, Coney Island",Former English Language Learners,2017,Percent,0.82514,SD21
"Gravesend, Coney Island",English Language Proficient,2017,Percent,0.74027,SD21
"Flatbush, Midwood, Sheepshead Bay",English Language Learners,2017,Percent,0.28037,SD22
"Flatbush, Midwood, Sheepshead Bay",Former English Language Learners,2017,Percent,0.82813,SD22
"Flatbush, Midwood, Sheepshead Bay",English Language Proficient,2017,Percent,0.83021,SD22
"Brownsville, Ocean Hill",English Language Learners,2017,Percent,0.25,SD23
"Brownsville, Ocean Hill",Former English Language Learners,2017,Percent,0.85714,SD23
"Brownsville, Ocean Hill",English Language Proficient,2017,Percent,0.40138,SD23
"Sunnyside, Woodside, Jackson Hts",English Language Learners,2017,Percent,0.33172,SD24
"Sunnyside, Woodside, Jackson Hts",Former English Language Learners,2017,Percent,0.85714,SD24
"Sunnyside, Woodside, Jackson Hts",English Language Proficient,2017,Percent,0.76019,SD24
"Flushing, Whitestone",English Language Learners,2017,Percent,0.26596,SD25
"Flushing, Whitestone",Former English Language Learners,2017,Percent,0.86022,SD25
"Flushing, Whitestone",English Language Proficient,2017,Percent,0.72144,SD25
"Bayside, Douglaston, Little Neck",English Language Learners,2017,Percent,0.27612,SD26
"Bayside, Douglaston, Little Neck",Former English Language Learners,2017,Percent,0.90449,SD26
"Bayside, Douglaston, Little Neck",English Language Proficient,2017,Percent,0.87838,SD26
"Jamaica, Howard Beach, Rockaways",English Language Learners,2017,Percent,0.27675,SD27
"Jamaica, Howard Beach, Rockaways",Former English Language Learners,2017,Percent,0.84615,SD27
"Jamaica, Howard Beach, Rockaways",English Language Proficient,2017,Percent,0.72169,SD27
"Jamaica, Forest Hills",English Language Learners,2017,Percent,0.24026,SD28
"Jamaica, Forest Hills",Former English Language Learners,2017,Percent,0.85443,SD28
"Jamaica, Forest Hills",English Language Proficient,2017,Percent,0.80882,SD28
"Queens Village, Rosedale, Hollis",English Language Learners,2017,Percent,0.25641,SD29
"Queens Village, Rosedale, Hollis",Former English Language Learners,2017,Percent,0.81818,SD29
"Queens Village, Rosedale, Hollis",English Language Proficient,2017,Percent,0.70381,SD29
"Long Island City, Astoria",English Language Learners,2017,Percent,0.32377,SD30
"Long Island City, Astoria",Former English Language Learners,2017,Percent,0.87636,SD30
"Long Island City, Astoria",English Language Proficient,2017,Percent,0.81408,SD30
Staten Island,English Language Learners,2017,Percent,0.28723,SD31
Staten Island,Former English Language Learners,2017,Percent,0.68293,SD31
Staten Island,English Language Proficient,2017,Percent,0.8,SD31
Bushwick,English Language Learners,2017,Percent,0.33077,SD32
Bushwick,Former English Language Learners,2017,Percent,0.86486,SD32
Bushwick,English Language Proficient,2017,Percent,0.70876,SD32
New York City,English Language Learners,2016,Percent,0.27245,3651000
New York City,Former English Language Learners,2016,Percent,0.8099,3651000
New York City,English Language Proficient,2016,Percent,0.73449,3651000
Bronx,English Language Learners,2016,Percent,0.28333,36005
Bronx,Former English Language Learners,2016,Percent,0.79737,36005
Bronx,English Language Proficient,2016,Percent,0.6599,36005
Brooklyn,English Language Proficient,2016,Percent,0.26271,36047
Brooklyn,Former English Language Learners,2016,Percent,0.81959,36047
Brooklyn,English Language Learners,2016,Percent,0.72067,36047
Manhattan,English Language Proficient,2016,Percent,0.2649,36061
Manhattan,Former English Language Learners,2016,Percent,0.81304,36061
Manhattan,English Language Learners,2016,Percent,0.75574,36061
Queens,English Language Proficient,2016,Percent,0.27969,36081
Queens,Former English Language Learners,2016,Percent,0.81721,36081
Queens,English Language Learners,2016,Percent,0.76796,36081
Staten Island,English Language Proficient,2016,Percent,0.21569,36085
Staten Island,Former English Language Learners,2016,Percent,0.65217,36085
Staten Island,English Language Learners,2016,Percent,0.79122,36085
Lower East Side,English Language Learners,2016,Percent,0.25654,SD1
Lower East Side,Former English Language Learners,2016,Percent,0.77083,SD1
Lower East Side,English Language Proficient,2016,Percent,0.65422,SD1
"Stuyvesant Town, Upper E. Side",English Language Learners,2016,Percent,0.28758,SD2
"Stuyvesant Town, Upper E. Side",Former English Language Learners,2016,Percent,0.83619,SD2
"Stuyvesant Town, Upper E. Side",English Language Proficient,2016,Percent,0.77095,SD2
Upper West Side,English Language Learners,2016,Percent,0.2069,SD3
Upper West Side,Former English Language Learners,2016,Percent,0.67647,SD3
Upper West Side,English Language Proficient,2016,Percent,0.78173,SD3
East Harlem,English Language Learners,2016,Percent,0.2,SD4
East Harlem,Former English Language Learners,2016,Percent,0.83871,SD4
East Harlem,English Language Proficient,2016,Percent,0.80969,SD4
Central Harlem,English Language Learners,2016,Percent,0.11538,SD5
Central Harlem,Former English Language Learners,2016,Percent,0.61538,SD5
Central Harlem,English Language Proficient,2016,Percent,0.66813,SD5
Washington Heights,English Language Learners,2016,Percent,0.27407,SD6
Washington Heights,Former English Language Learners,2016,Percent,0.82394,SD6
Washington Heights,English Language Proficient,2016,Percent,0.69231,SD6
Mott Haven,English Language Learners,2016,Percent,0.32121,SD7
Mott Haven,Former English Language Learners,2016,Percent,0.76136,SD7
Mott Haven,English Language Proficient,2016,Percent,0.58345,SD7
"Hunts Point, Port Morris",English Language Learners,2016,Percent,0.19075,SD8
"Hunts Point, Port Morris",Former English Language Learners,2016,Percent,0.60674,SD8
"Hunts Point, Port Morris",English Language Proficient,2016,Percent,0.52859,SD8
"East Tremont, Morris Heights",English Language Learners,2016,Percent,0.34138,SD9
"East Tremont, Morris Heights",Former English Language Learners,2016,Percent,0.84483,SD9
"East Tremont, Morris Heights",English Language Proficient,2016,Percent,0.67963,SD9
"Riverdale, Kingsbridge, Fordham",English Language Learners,2016,Percent,0.28052,SD10
"Riverdale, Kingsbridge, Fordham",Former English Language Learners,2016,Percent,0.82703,SD10
"Riverdale, Kingsbridge, Fordham",English Language Proficient,2016,Percent,0.77364,SD10
"Eastchester, Baychester, Co-op City",English Language Learners,2016,Percent,0.25434,SD11
"Eastchester, Baychester, Co-op City",Former English Language Learners,2016,Percent,0.8018,SD11
"Eastchester, Baychester, Co-op City",English Language Proficient,2016,Percent,0.68852,SD11
"Crotona Park, Morrisania, Melrose",English Language Learners,2016,Percent,0.28287,SD12
"Crotona Park, Morrisania, Melrose",Former English Language Learners,2016,Percent,0.84956,SD12
"Crotona Park, Morrisania, Melrose",English Language Proficient,2016,Percent,0.56075,SD12
"Brooklyn Hts, Downtown Brooklyn",English Language Learners,2016,Percent,0.5,SD13
"Brooklyn Hts, Downtown Brooklyn",Former English Language Learners,2016,Percent,0.95833,SD13
"Brooklyn Hts, Downtown Brooklyn",English Language Proficient,2016,Percent,0.82563,SD13
"Williamsburg, Greenpoint",English Language Learners,2016,Percent,0.36242,SD14
"Williamsburg, Greenpoint",Former English Language Learners,2016,Percent,0.83562,SD14
"Williamsburg, Greenpoint",English Language Proficient,2016,Percent,0.74778,SD14
"S. Brooklyn, Park Slope, Sunset Park",English Language Learners,2016,Percent,0.19588,SD15
"S. Brooklyn, Park Slope, Sunset Park",Former English Language Learners,2016,Percent,0.66667,SD15
"S. Brooklyn, Park Slope, Sunset Park",English Language Proficient,2016,Percent,0.68533,SD15
Bedford Stuyvesant,English Language Learners,2016,Percent,0,SD16
Bedford Stuyvesant,Former English Language Learners,2016,Percent,0,SD16
Bedford Stuyvesant,English Language Proficient,2016,Percent,0.46888,SD16
Crown Heights,English Language Learners,2016,Percent,0.36232,SD17
Crown Heights,Former English Language Learners,2016,Percent,0.7971,SD17
Crown Heights,English Language Proficient,2016,Percent,0.69616,SD17
"East Flatbush, Canarsie",English Language Learners,2016,Percent,0.28,SD18
"East Flatbush, Canarsie",Former English Language Learners,2016,Percent,0.91304,SD18
"East Flatbush, Canarsie",English Language Proficient,2016,Percent,0.56475,SD18
East New York,English Language Learners,2016,Percent,0.32941,SD19
East New York,Former English Language Learners,2016,Percent,0.86957,SD19
East New York,English Language Proficient,2016,Percent,0.64414,SD19
"Bay Ridge, Bensonhurst",English Language Learners,2016,Percent,0.18398,SD20
"Bay Ridge, Bensonhurst",Former English Language Learners,2016,Percent,0.86018,SD20
"Bay Ridge, Bensonhurst",English Language Proficient,2016,Percent,0.76009,SD20
"Gravesend, Coney Island",English Language Learners,2016,Percent,0.23457,SD21
"Gravesend, Coney Island",Former English Language Learners,2016,Percent,0.76077,SD21
"Gravesend, Coney Island",English Language Proficient,2016,Percent,0.73598,SD21
"Flatbush, Midwood, Sheepshead Bay",English Language Learners,2016,Percent,0.26154,SD22
"Flatbush, Midwood, Sheepshead Bay",Former English Language Learners,2016,Percent,0.75,SD22
"Flatbush, Midwood, Sheepshead Bay",English Language Proficient,2016,Percent,0.82003,SD22
"Brownsville, Ocean Hill",English Language Learners,2016,Percent,0,SD23
"Brownsville, Ocean Hill",Former English Language Learners,2016,Percent,0,SD23
"Brownsville, Ocean Hill",English Language Proficient,2016,Percent,0.4,SD23
"Sunnyside, Woodside, Jackson Hts",English Language Learners,2016,Percent,0.30904,SD24
