"Name","Total Population by Race/Ethnicity"
"Description","Total population by racial/ethnic group."
"Source Notes","<span style=""color: #333333;"">U.S. Census Bureau, American Community Survey 5-Year Estimates, Table B03002 (2009-2018); retrieved <a href=""https://data.census.gov/"" target=""_blank"">https://data.census.gov/</a>.</span>
<div><span style=""color: #333333;""><br />
</span></div>"
"Notes","Percents refer to the percent of the total population. Racial/ethnic groups are defined as follows: White = non-Latino White alone, Black = non-Latino Black alone, Asian = non-Latino Asian or Pacific Islander alone, Other = other non-Latino of any race, Latino = Latino of any race.&nbsp;"

Location,Race/Ethnicity,TimeFrame,DataFormat,Data,Fips
Crown Heights North,Other,2010,Number,2744,308
Brownsville,Other,2010,Number,1810,316
East New York,Other,2010,Number,3709,305
Canarsie,Other,2010,Number,3160,318
East Flatbush,Other,2010,Number,2620,317
Crown Heights South,Other,2010,Number,1587,309
Sunset Park,Other,2010,Number,2553,307
Bay Ridge,Other,2010,Number,1931,310
Borough Park,Other,2010,Number,1479,312
Flatbush/Midwood,Other,2010,Number,2830,314
Sheepshead Bay,Other,2010,Number,1204,315
Bensonhurst,Other,2010,Number,1863,311
Coney Island,Other,2010,Number,1192,313
Astoria,Other,2010,Number,4633,401
Jackson Heights,Other,2010,Number,3150,403
Flushing,Other,2010,Number,5056,407
Bayside,Other,2010,Number,1380,411
Queens Village,Other,2010,Number,7963,413
Fresh Meadows/Briarwood,Other,2010,Number,4402,408
Elmhurst/Corona,Other,2010,Number,1722,404
Rego Park/Forest Hills,Other,2010,Number,2810,406
Sunnyside/Woodside,Other,2010,Number,2183,402
Ridgewood/Glendale,Other,2010,Number,1353,405
Woodhaven,Other,2010,Number,10449,409
Jamaica/St. Albans,Other,2010,Number,11876,412
Howard Beach,Other,2010,Number,17484,410
The Rockaways,Other,2010,Number,2133,414
Bronx,Other,2010,Number,26124,36005
Brooklyn,Other,2010,Number,41820,36047
Manhattan,Other,2010,Number,35028,36061
Queens,Other,2010,Number,76594,36081
Staten Island,Other,2010,Number,6067,36085
New York City,Other,2010,Number,185633,3651000
Riverdale,Other,2010,Percent,0.0188,208
Williamsbridge,Other,2010,Percent,0.02563,212
Throgs Neck,Other,2010,Percent,0.01879,210
Pelham Parkway,Other,2010,Percent,0.02015,211
Morrisania,Other,2010,Percent,0.01032,203
East Tremont,Other,2010,Percent,0.01032,206
Bedford Park,Other,2010,Percent,0.02948,207
University Heights,Other,2010,Percent,0.01499,205
Concourse/Highbridge,Other,2010,Percent,0.01259,204
Unionport/Soundview,Other,2010,Percent,0.02729,209
Mott Haven,Other,2010,Percent,0.01291,201
Hunts Point,Other,2010,Percent,0.01291,202
Washington Heights,Other,2010,Percent,0.01515,112
Manhattanville,Other,2010,Percent,0.02791,109
Central Harlem,Other,2010,Percent,0.03288,110
East Harlem,Other,2010,Percent,0.01618,111
Upper East Side,Other,2010,Percent,0.01692,108
Upper West Side,Other,2010,Percent,0.02282,107
Chelsea/Clinton,Other,2010,Percent,0.02514,104
Midtown Business District,Other,2010,Percent,0.02514,105
Murray Hill/Stuyvesant,Other,2010,Percent,0.02144,106
Lower East Side,Other,2010,Percent,0.02352,103
Battery Park/Tribeca,Other,2010,Percent,0.02657,101
Greenwich Village,Other,2010,Percent,0.02657,102
Tottenville,Other,2010,Percent,0.008,503
South Beach,Other,2010,Percent,0.00747,502
St. George,Other,2010,Percent,0.02235,501
Williamsburg/Greenpoint,Other,2010,Percent,0.01313,301
Bushwick,Other,2010,Percent,0.01276,304
Bedford Stuyvesant,Other,2010,Percent,0.01618,303
Fort Greene/Brooklyn Hts,Other,2010,Percent,0.03663,302
Park Slope,Other,2010,Percent,0.02943,306
Crown Heights North,Other,2010,Percent,0.02259,308
Brownsville,Other,2010,Percent,0.01601,316
East New York,Other,2010,Percent,0.02431,305
Canarsie,Other,2010,Percent,0.01565,318
East Flatbush,Other,2010,Percent,0.01887,317
Crown Heights South,Other,2010,Percent,0.01486,309
Sunset Park,Other,2010,Percent,0.01723,307
Bay Ridge,Other,2010,Percent,0.0156,310
Borough Park,Other,2010,Percent,0.00916,312
Flatbush/Midwood,Other,2010,Percent,0.01798,314
Sheepshead Bay,Other,2010,Percent,0.00865,315
Bensonhurst,Other,2010,Percent,0.01101,311
Coney Island,Other,2010,Percent,0.01137,313
Astoria,Other,2010,Percent,0.02694,401
Jackson Heights,Other,2010,Percent,0.01785,403
Flushing,Other,2010,Percent,0.02073,407
Bayside,Other,2010,Percent,0.01187,411
Queens Village,Other,2010,Percent,0.03987,413
Fresh Meadows/Briarwood,Other,2010,Percent,0.02958,408
Elmhurst/Corona,Other,2010,Percent,0.01257,404
Rego Park/Forest Hills,Other,2010,Percent,0.02501,406
Sunnyside/Woodside,Other,2010,Percent,0.01675,402
Ridgewood/Glendale,Other,2010,Percent,0.00802,405
Woodhaven,Other,2010,Percent,0.07392,409
Jamaica/St. Albans,Other,2010,Percent,0.05542,412
Howard Beach,Other,2010,Percent,0.13796,410
The Rockaways,Other,2010,Percent,0.01917,414
Bronx,Other,2010,Percent,0.01913,36005
Brooklyn,Other,2010,Percent,0.01695,36047
Manhattan,Other,2010,Percent,0.02212,36061
Queens,Other,2010,Percent,0.03483,36081
Staten Island,Other,2010,Percent,0.01309,36085
New York City,Other,2010,Percent,0.02298,3651000
Riverdale,Other,2011,Number,2129,208
Williamsbridge,Other,2011,Number,3606,212
Throgs Neck,Other,2011,Number,2074,210
Pelham Parkway,Other,2011,Number,2712,211
Morrisania,Other,2011,Number,901.68292,203
East Tremont,Other,2011,Number,941.31708,206
Bedford Park,Other,2011,Number,2918,207
University Heights,Other,2011,Number,1799,205
Concourse/Highbridge,Other,2011,Number,1982,204
Unionport/Soundview,Other,2011,Number,5121,209
Mott Haven,Other,2011,Number,1269.24454,201
Hunts Point,Other,2011,Number,724.75546,202
Washington Heights,Other,2011,Number,3836,112
Manhattanville,Other,2011,Number,3854,109
Central Harlem,Other,2011,Number,3749,110
East Harlem,Other,2011,Number,2180,111
Upper East Side,Other,2011,Number,4016,108
Upper West Side,Other,2011,Number,4693,107
Chelsea/Clinton,Other,2011,Number,2662.46514,104
Midtown Business District,Other,2011,Number,1332.53486,105
Murray Hill/Stuyvesant,Other,2011,Number,3281,106
Lower East Side,Other,2011,Number,4282,103
Battery Park/Tribeca,Other,2011,Number,1870.20092,101
Greenwich Village,Other,2011,Number,2760.79908,102
Tottenville,Other,2011,Number,1203,503
South Beach,Other,2011,Number,1058,502
St. George,Other,2011,Number,4134,501
Williamsburg/Greenpoint,Other,2011,Number,2187,301
Bushwick,Other,2011,Number,1444,304
Bedford Stuyvesant,Other,2011,Number,2179,303
Fort Greene/Brooklyn Hts,Other,2011,Number,4361,302
Park Slope,Other,2011,Number,3384,306
Crown Heights North,Other,2011,Number,2762,308
Brownsville,Other,2011,Number,1671,316
East New York,Other,2011,Number,2669,305
Canarsie,Other,2011,Number,3272,318
East Flatbush,Other,2011,Number,2627,317
Crown Heights South,Other,2011,Number,1625,309
Sunset Park,Other,2011,Number,2796,307
Bay Ridge,Other,2011,Number,2099,310
Borough Park,Other,2011,Number,1236,312
Flatbush/Midwood,Other,2011,Number,2983,314
Sheepshead Bay,Other,2011,Number,1441,315
Bensonhurst,Other,2011,Number,1581,311
Coney Island,Other,2011,Number,1257,313
Astoria,Other,2011,Number,4191,401
Jackson Heights,Other,2011,Number,3719,403
Flushing,Other,2011,Number,5876,407
Bayside,Other,2011,Number,2387,411
Queens Village,Other,2011,Number,7736,413
Fresh Meadows/Briarwood,Other,2011,Number,4922,408
Elmhurst/Corona,Other,2011,Number,1639,404
Rego Park/Forest Hills,Other,2011,Number,3208,406
Sunnyside/Woodside,Other,2011,Number,2414,402
Ridgewood/Glendale,Other,2011,Number,1388,405
Woodhaven,Other,2011,Number,10703,409
Jamaica/St. Albans,Other,2011,Number,12164,412
Howard Beach,Other,2011,Number,18355,410
The Rockaways,Other,2011,Number,1906,414
Bronx,Other,2011,Number,26178,36005
Brooklyn,Other,2011,Number,41574,36047
Manhattan,Other,2011,Number,38517,36061
Queens,Other,2011,Number,80608,36081
Staten Island,Other,2011,Number,6395,36085
New York City,Other,2011,Number,193272,3651000
Riverdale,Other,2011,Percent,0.01998,208
Williamsbridge,Other,2011,Percent,0.02497,212
Throgs Neck,Other,2011,Percent,0.01791,210
Pelham Parkway,Other,2011,Percent,0.02153,211
Morrisania,Other,2011,Percent,0.01194,203
East Tremont,Other,2011,Percent,0.01194,206
Bedford Park,Other,2011,Percent,0.02373,207
University Heights,Other,2011,Percent,0.01356,205
Concourse/Highbridge,Other,2011,Percent,0.01422,204
Unionport/Soundview,Other,2011,Percent,0.0286,209
Mott Haven,Other,2011,Percent,0.013,201
Hunts Point,Other,2011,Percent,0.013,202
Washington Heights,Other,2011,Percent,0.0181,112
Manhattanville,Other,2011,Percent,0.03012,109
Central Harlem,Other,2011,Percent,0.03066,110
East Harlem,Other,2011,Percent,0.0179,111
Upper East Side,Other,2011,Percent,0.01857,108
Upper West Side,Other,2011,Percent,0.02397,107
Chelsea/Clinton,Other,2011,Percent,0.02859,104
Midtown Business District,Other,2011,Percent,0.02859,105
Murray Hill/Stuyvesant,Other,2011,Percent,0.02246,106
Lower East Side,Other,2011,Percent,0.02607,103
Battery Park/Tribeca,Other,2011,Percent,0.03258,101
Greenwich Village,Other,2011,Percent,0.03258,102
Tottenville,Other,2011,Percent,0.00748,503
South Beach,Other,2011,Percent,0.00801,502
St. George,Other,2011,Percent,0.02389,501
Williamsburg/Greenpoint,Other,2011,Percent,0.01526,301
Bushwick,Other,2011,Percent,0.011,304
Bedford Stuyvesant,Other,2011,Percent,0.01674,303
Fort Greene/Brooklyn Hts,Other,2011,Percent,0.03659,302
Park Slope,Other,2011,Percent,0.03003,306
Crown Heights North,Other,2011,Percent,0.02266,308
Brownsville,Other,2011,Percent,0.01458,316
East New York,Other,2011,Percent,0.01777,305
Canarsie,Other,2011,Percent,0.01614,318
East Flatbush,Other,2011,Percent,0.01901,317
Crown Heights South,Other,2011,Percent,0.01484,309
Sunset Park,Other,2011,Percent,0.01905,307
Bay Ridge,Other,2011,Percent,0.01651,310
Borough Park,Other,2011,Percent,0.00757,312
Flatbush/Midwood,Other,2011,Percent,0.0188,314
Sheepshead Bay,Other,2011,Percent,0.01029,315
Bensonhurst,Other,2011,Percent,0.0092,311
Coney Island,Other,2011,Percent,0.01205,313
Astoria,Other,2011,Percent,0.02488,401
Jackson Heights,Other,2011,Percent,0.02101,403
Flushing,Other,2011,Percent,0.02407,407
Bayside,Other,2011,Percent,0.02023,411
Queens Village,Other,2011,Percent,0.03861,413
Fresh Meadows/Briarwood,Other,2011,Percent,0.03281,408
Elmhurst/Corona,Other,2011,Percent,0.01186,404
Rego Park/Forest Hills,Other,2011,Percent,0.02865,406
Sunnyside/Woodside,Other,2011,Percent,0.01857,402
Ridgewood/Glendale,Other,2011,Percent,0.00819,405
Woodhaven,Other,2011,Percent,0.07396,409
Jamaica/St. Albans,Other,2011,Percent,0.05539,412
Howard Beach,Other,2011,Percent,0.14227,410
The Rockaways,Other,2011,Percent,0.01686,414
Bronx,Other,2011,Percent,0.01904,36005
Brooklyn,Other,2011,Percent,0.01672,36047
Manhattan,Other,2011,Percent,0.02425,36061
Queens,Other,2011,Percent,0.03641,36081
Staten Island,Other,2011,Percent,0.01372,36085
New York City,Other,2011,Percent,0.02378,3651000
Riverdale,Other,2012,Number,1999,208
Williamsbridge,Other,2012,Number,2904,212
Throgs Neck,Other,2012,Number,2000,210
Pelham Parkway,Other,2012,Number,2588,211
Morrisania,Other,2012,Number,1024.48401,203
East Tremont,Other,2012,Number,1069.51599,206
Bedford Park,Other,2012,Number,2706,207
University Heights,Other,2012,Number,1526,205
Concourse/Highbridge,Other,2012,Number,1991,204
Unionport/Soundview,Other,2012,Number,5163,209
Mott Haven,Other,2012,Number,1049.64105,201
Hunts Point,Other,2012,Number,599.35895,202
Washington Heights,Other,2012,Number,3805,112
Manhattanville,Other,2012,Number,3944,109
Central Harlem,Other,2012,Number,3630,110
East Harlem,Other,2012,Number,2285,111
Upper East Side,Other,2012,Number,4241,108
Upper West Side,Other,2012,Number,4919,107
Chelsea/Clinton,Other,2012,Number,2808.41755,104
Midtown Business District,Other,2012,Number,1405.58245,105
Murray Hill/Stuyvesant,Other,2012,Number,3078,106
Lower East Side,Other,2012,Number,4486,103
Battery Park/Tribeca,Other,2012,Number,1900.48921,101
Greenwich Village,Other,2012,Number,2805.51079,102
Tottenville,Other,2012,Number,1534,503
South Beach,Other,2012,Number,1376,502
St. George,Other,2012,Number,4002,501
Williamsburg/Greenpoint,Other,2012,Number,2559,301
Bushwick,Other,2012,Number,1612,304
Bedford Stuyvesant,Other,2012,Number,2247,303
Fort Greene/Brooklyn Hts,Other,2012,Number,4249,302
Park Slope,Other,2012,Number,3490,306
Crown Heights North,Other,2012,Number,2573,308
Brownsville,Other,2012,Number,1628,316
East New York,Other,2012,Number,2478,305
Canarsie,Other,2012,Number,2918,318
East Flatbush,Other,2012,Number,2327,317
Crown Heights South,Other,2012,Number,2065,309
Sunset Park,Other,2012,Number,2693,307
Bay Ridge,Other,2012,Number,2039,310
Borough Park,Other,2012,Number,1628,312
Flatbush/Midwood,Other,2012,Number,3368,314
Sheepshead Bay,Other,2012,Number,1606,315
Bensonhurst,Other,2012,Number,1886,311
Coney Island,Other,2012,Number,1211,313
Astoria,Other,2012,Number,3931,401
Jackson Heights,Other,2012,Number,3823,403
Flushing,Other,2012,Number,6824,407
Bayside,Other,2012,Number,2755,411
Queens Village,Other,2012,Number,8450,413
Fresh Meadows/Briarwood,Other,2012,Number,6103,408
Elmhurst/Corona,Other,2012,Number,1584,404
Rego Park/Forest Hills,Other,2012,Number,2934,406
Sunnyside/Woodside,Other,2012,Number,2553,402
Ridgewood/Glendale,Other,2012,Number,1528,405
Woodhaven,Other,2012,Number,12395,409
Jamaica/St. Albans,Other,2012,Number,13333,412
Howard Beach,Other,2012,Number,19819,410
The Rockaways,Other,2012,Number,2618,414
Bronx,Other,2012,Number,24620,36005
Brooklyn,Other,2012,Number,42577,36047
Manhattan,Other,2012,Number,39308,36061
Queens,Other,2012,Number,88650,36081
Staten Island,Other,2012,Number,6912,36085
New York City,Other,2012,Number,202067,3651000
Riverdale,Other,2012,Percent,0.01879,208
Williamsbridge,Other,2012,Percent,0.02017,212
Throgs Neck,Other,2012,Percent,0.01715,210
Pelham Parkway,Other,2012,Percent,0.02031,211
Morrisania,Other,2012,Percent,0.01326,203
East Tremont,Other,2012,Percent,0.01326,206
Bedford Park,Other,2012,Percent,0.02175,207
University Heights,Other,2012,Percent,0.01152,205
Concourse/Highbridge,Other,2012,Percent,0.0142,204
Unionport/Soundview,Other,2012,Percent,0.02823,209
Mott Haven,Other,2012,Percent,0.01071,201
Hunts Point,Other,2012,Percent,0.01071,202
Washington Heights,Other,2012,Percent,0.01803,112
Manhattanville,Other,2012,Percent,0.03041,109
Central Harlem,Other,2012,Percent,0.02907,110
East Harlem,Other,2012,Percent,0.01878,111
Upper East Side,Other,2012,Percent,0.01946,108
Upper West Side,Other,2012,Percent,0.02511,107
Chelsea/Clinton,Other,2012,Percent,0.03,104
Midtown Business District,Other,2012,Percent,0.03,105
Murray Hill/Stuyvesant,Other,2012,Percent,0.0211,106
Lower East Side,Other,2012,Percent,0.02726,103
Battery Park/Tribeca,Other,2012,Percent,0.03251,101
Greenwich Village,Other,2012,Percent,0.03251,102
Tottenville,Other,2012,Percent,0.0094,503
South Beach,Other,2012,Percent,0.01041,502
St. George,Other,2012,Percent,0.02314,501
Williamsburg/Greenpoint,Other,2012,Percent,0.01782,301
Bushwick,Other,2012,Percent,0.01211,304
Bedford Stuyvesant,Other,2012,Percent,0.01672,303
Fort Greene/Brooklyn Hts,Other,2012,Percent,0.03468,302
Park Slope,Other,2012,Percent,0.03108,306
Crown Heights North,Other,2012,Percent,0.02134,308
Brownsville,Other,2012,Percent,0.0139,316
East New York,Other,2012,Percent,0.01627,305
Canarsie,Other,2012,Percent,0.0142,318
East Flatbush,Other,2012,Percent,0.01676,317
Crown Heights South,Other,2012,Percent,0.01866,309
Sunset Park,Other,2012,Percent,0.01808,307
Bay Ridge,Other,2012,Percent,0.0158,310
Borough Park,Other,2012,Percent,0.01005,312
Flatbush/Midwood,Other,2012,Percent,0.02151,314
Sheepshead Bay,Other,2012,Percent,0.01119,315
Bensonhurst,Other,2012,Percent,0.01066,311
Coney Island,Other,2012,Percent,0.01155,313
Astoria,Other,2012,Percent,0.02324,401
Jackson Heights,Other,2012,Percent,0.02141,403
Flushing,Other,2012,Percent,0.02737,407
Bayside,Other,2012,Percent,0.02297,411
Queens Village,Other,2012,Percent,0.04238,413
Fresh Meadows/Briarwood,Other,2012,Percent,0.04017,408
Elmhurst/Corona,Other,2012,Percent,0.01139,404
Rego Park/Forest Hills,Other,2012,Percent,0.02615,406
Sunnyside/Woodside,Other,2012,Percent,0.0195,402
Ridgewood/Glendale,Other,2012,Percent,0.00905,405
Woodhaven,Other,2012,Percent,0.08391,409
Jamaica/St. Albans,Other,2012,Percent,0.06015,412
Howard Beach,Other,2012,Percent,0.15135,410
The Rockaways,Other,2012,Percent,0.0227,414
Bronx,Other,2012,Percent,0.01776,36005
Brooklyn,Other,2012,Percent,0.01694,36047
Manhattan,Other,2012,Percent,0.02462,36061
Queens,Other,2012,Percent,0.03966,36081
Staten Island,Other,2012,Percent,0.01476,36085
New York City,Other,2012,Percent,0.02464,3651000
Riverdale,Other,2013,Number,2214,208
Williamsbridge,Other,2013,Number,3022,212
Throgs Neck,Other,2013,Number,2141,210
Pelham Parkway,Other,2013,Number,2901,211
Morrisania,Other,2013,Number,1057.26358,203
East Tremont,Other,2013,Number,1103.73642,206
Bedford Park,Other,2013,Number,2107,207
University Heights,Other,2013,Number,1966,205
Concourse/Highbridge,Other,2013,Number,1902,204
Unionport/Soundview,Other,2013,Number,5024,209
Mott Haven,Other,2013,Number,915.96936,201
Hunts Point,Other,2013,Number,523.03064,202
Washington Heights,Other,2013,Number,3815,112
Manhattanville,Other,2013,Number,4184,109
Central Harlem,Other,2013,Number,3459,110
East Harlem,Other,2013,Number,2651,111
Upper East Side,Other,2013,Number,4425,108
Upper West Side,Other,2013,Number,4808,107
Chelsea/Clinton,Other,2013,Number,2922.38039,104
Midtown Business District,Other,2013,Number,1462.61961,105
Murray Hill/Stuyvesant,Other,2013,Number,3682,106
Lower East Side,Other,2013,Number,5204,103
Battery Park/Tribeca,Other,2013,Number,2026.89234,101
Greenwich Village,Other,2013,Number,2992.10766,102
Tottenville,Other,2013,Number,1183,503
South Beach,Other,2013,Number,1220,502
St. George,Other,2013,Number,4135,501
Williamsburg/Greenpoint,Other,2013,Number,2691,301
Bushwick,Other,2013,Number,1647,304
Bedford Stuyvesant,Other,2013,Number,2183,303
Fort Greene/Brooklyn Hts,Other,2013,Number,4889,302
Park Slope,Other,2013,Number,4106,306
Crown Heights North,Other,2013,Number,3320,308
Brownsville,Other,2013,Number,1216,316
East New York,Other,2013,Number,2503,305
Canarsie,Other,2013,Number,3364,318
East Flatbush,Other,2013,Number,2326,317
Crown Heights South,Other,2013,Number,1913,309
Sunset Park,Other,2013,Number,2875,307
Bay Ridge,Other,2013,Number,2207,310
Borough Park,Other,2013,Number,1816,312
Flatbush/Midwood,Other,2013,Number,3094,314
Sheepshead Bay,Other,2013,Number,1663,315
Bensonhurst,Other,2013,Number,2332,311
Coney Island,Other,2013,Number,1591,313
Astoria,Other,2013,Number,3933,401
Jackson Heights,Other,2013,Number,3762,403
Flushing,Other,2013,Number,6988,407
Bayside,Other,2013,Number,2969,411
Queens Village,Other,2013,Number,9193,413
Fresh Meadows/Briarwood,Other,2013,Number,7010,408
Elmhurst/Corona,Other,2013,Number,2100,404
Rego Park/Forest Hills,Other,2013,Number,3082,406
Sunnyside/Woodside,Other,2013,Number,2652,402
Ridgewood/Glendale,Other,2013,Number,1494,405
Woodhaven,Other,2013,Number,12546,409
Jamaica/St. Albans,Other,2013,Number,14269,412
Howard Beach,Other,2013,Number,22012,410
The Rockaways,Other,2013,Number,2417,414
Bronx,Other,2013,Number,24877,36005
Brooklyn,Other,2013,Number,45736,36047
Manhattan,Other,2013,Number,41632,36061
Queens,Other,2013,Number,94427,36081
Staten Island,Other,2013,Number,6538,36085
New York City,Other,2013,Number,213210,3651000
Riverdale,Other,2013,Percent,0.02069,208
Williamsbridge,Other,2013,Percent,0.02105,212
Throgs Neck,Other,2013,Percent,0.01779,210
Pelham Parkway,Other,2013,Percent,0.02268,211
Morrisania,Other,2013,Percent,0.01348,203
East Tremont,Other,2013,Percent,0.01348,206
Bedford Park,Other,2013,Percent,0.01691,207
University Heights,Other,2013,Percent,0.01473,205
Concourse/Highbridge,Other,2013,Percent,0.01364,204
Unionport/Soundview,Other,2013,Percent,0.02723,209
Mott Haven,Other,2013,Percent,0.00922,201
Hunts Point,Other,2013,Percent,0.00922,202
Washington Heights,Other,2013,Percent,0.01806,112
Manhattanville,Other,2013,Percent,0.03203,109
Central Harlem,Other,2013,Percent,0.02713,110
East Harlem,Other,2013,Percent,0.02223,111
Upper East Side,Other,2013,Percent,0.02049,108
Upper West Side,Other,2013,Percent,0.0245,107
Chelsea/Clinton,Other,2013,Percent,0.03069,104
Midtown Business District,Other,2013,Percent,0.03069,105
Murray Hill/Stuyvesant,Other,2013,Percent,0.0251,106
Lower East Side,Other,2013,Percent,0.0314,103
Battery Park/Tribeca,Other,2013,Percent,0.03368,101
Greenwich Village,Other,2013,Percent,0.03368,102
Tottenville,Other,2013,Percent,0.00724,503
South Beach,Other,2013,Percent,0.00919,502
St. George,Other,2013,Percent,0.02377,501
Williamsburg/Greenpoint,Other,2013,Percent,0.01833,301
Bushwick,Other,2013,Percent,0.01196,304
Bedford Stuyvesant,Other,2013,Percent,0.01607,303
Fort Greene/Brooklyn Hts,Other,2013,Percent,0.03878,302
Park Slope,Other,2013,Percent,0.03622,306
Crown Heights North,Other,2013,Percent,0.02694,308
Brownsville,Other,2013,Percent,0.01014,316
East New York,Other,2013,Percent,0.01645,305
Canarsie,Other,2013,Percent,0.01637,318
East Flatbush,Other,2013,Percent,0.01686,317
Crown Heights South,Other,2013,Percent,0.0174,309
Sunset Park,Other,2013,Percent,0.01905,307
Bay Ridge,Other,2013,Percent,0.01687,310
Borough Park,Other,2013,Percent,0.01113,312
Flatbush/Midwood,Other,2013,Percent,0.01978,314
Sheepshead Bay,Other,2013,Percent,0.01134,315
Bensonhurst,Other,2013,Percent,0.01308,311
Coney Island,Other,2013,Percent,0.01515,313
Astoria,Other,2013,Percent,0.0232,401
Jackson Heights,Other,2013,Percent,0.02079,403
Flushing,Other,2013,Percent,0.02806,407
Bayside,Other,2013,Percent,0.0247,411
Queens Village,Other,2013,Percent,0.04564,413
Fresh Meadows/Briarwood,Other,2013,Percent,0.0454,408
Elmhurst/Corona,Other,2013,Percent,0.01476,404
Rego Park/Forest Hills,Other,2013,Percent,0.02745,406
Sunnyside/Woodside,Other,2013,Percent,0.02017,402
Ridgewood/Glendale,Other,2013,Percent,0.00885,405
Woodhaven,Other,2013,Percent,0.0841,409
Jamaica/St. Albans,Other,2013,Percent,0.06239,412
Howard Beach,Other,2013,Percent,0.16649,410
The Rockaways,Other,2013,Percent,0.02083,414
Bronx,Other,2013,Percent,0.0178,36005
Brooklyn,Other,2013,Percent,0.01801,36047
Manhattan,Other,2013,Percent,0.02593,36061
Queens,Other,2013,Percent,0.04185,36081
Staten Island,Other,2013,Percent,0.0139,36085
New York City,Other,2013,Percent,0.02578,3651000
Riverdale,Other,2014,Number,2132,208
Williamsbridge,Other,2014,Number,3101,212
Throgs Neck,Other,2014,Number,2732,210
Pelham Parkway,Other,2014,Number,2608,211
Morrisania,Other,2014,Number,1086.12918,203
East Tremont,Other,2014,Number,1133.87082,206
Bedford Park,Other,2014,Number,2125,207
University Heights,Other,2014,Number,1876,205
Concourse/Highbridge,Other,2014,Number,2160,204
Unionport/Soundview,Other,2014,Number,5175,209
Mott Haven,Other,2014,Number,1001.26463,201
Hunts Point,Other,2014,Number,571.73537,202
Washington Heights,Other,2014,Number,3714,112
Manhattanville,Other,2014,Number,4511,109
Central Harlem,Other,2014,Number,3675,110
East Harlem,Other,2014,Number,2762,111
Upper East Side,Other,2014,Number,4834,108
Upper West Side,Other,2014,Number,5186,107
Chelsea/Clinton,Other,2014,Number,3079.66243,104
Midtown Business District,Other,2014,Number,1541.33757,105
Murray Hill/Stuyvesant,Other,2014,Number,4222,106
Lower East Side,Other,2014,Number,5384,103
Battery Park/Tribeca,Other,2014,Number,2127.44946,101
Greenwich Village,Other,2014,Number,3140.55054,102
Tottenville,Other,2014,Number,1464,503
South Beach,Other,2014,Number,1617,502
St. George,Other,2014,Number,4669,501
Williamsburg/Greenpoint,Other,2014,Number,3095,301
Bushwick,Other,2014,Number,1527,304
Bedford Stuyvesant,Other,2014,Number,2462,303
Fort Greene/Brooklyn Hts,Other,2014,Number,4798,302
Park Slope,Other,2014,Number,4594,306
Crown Heights North,Other,2014,Number,3394,308
Brownsville,Other,2014,Number,1251,316
East New York,Other,2014,Number,2600,305
Canarsie,Other,2014,Number,3495,318
East Flatbush,Other,2014,Number,2298,317
Crown Heights South,Other,2014,Number,2243,309
Sunset Park,Other,2014,Number,2690,307
Bay Ridge,Other,2014,Number,2726,310
Borough Park,Other,2014,Number,2352,312
Flatbush/Midwood,Other,2014,Number,3666,314
Sheepshead Bay,Other,2014,Number,1925,315
Bensonhurst,Other,2014,Number,2475,311
Coney Island,Other,2014,Number,1778,313
Astoria,Other,2014,Number,4416,401
Jackson Heights,Other,2014,Number,3660,403
Flushing,Other,2014,Number,6690,407
Bayside,Other,2014,Number,3244,411
Queens Village,Other,2014,Number,9631,413
Fresh Meadows/Briarwood,Other,2014,Number,6380,408
Elmhurst/Corona,Other,2014,Number,2345,404
Rego Park/Forest Hills,Other,2014,Number,2709,406
Sunnyside/Woodside,Other,2014,Number,2778,402
Ridgewood/Glendale,Other,2014,Number,1795,405
Woodhaven,Other,2014,Number,11769,409
Jamaica/St. Albans,Other,2014,Number,14912,412
Howard Beach,Other,2014,Number,23829,410
The Rockaways,Other,2014,Number,2682,414
Bronx,Other,2014,Number,25702,36005
Brooklyn,Other,2014,Number,49369,36047
Manhattan,Other,2014,Number,44177,36061
Queens,Other,2014,Number,96840,36081
Staten Island,Other,2014,Number,7750,36085
New York City,Other,2014,Number,223838,3651000
Riverdale,Other,2014,Percent,0.01965,208
Williamsbridge,Other,2014,Percent,0.0219,212
Throgs Neck,Other,2014,Percent,0.02206,210
Pelham Parkway,Other,2014,Percent,0.02007,211
Morrisania,Other,2014,Percent,0.01333,203
East Tremont,Other,2014,Percent,0.01333,206
Bedford Park,Other,2014,Percent,0.01697,207
University Heights,Other,2014,Percent,0.01416,205
Concourse/Highbridge,Other,2014,Percent,0.01527,204
Unionport/Soundview,Other,2014,Percent,0.02776,209
Mott Haven,Other,2014,Percent,0.00998,201
Hunts Point,Other,2014,Percent,0.00998,202
Washington Heights,Other,2014,Percent,0.01732,112
Manhattanville,Other,2014,Percent,0.03463,109
Central Harlem,Other,2014,Percent,0.02828,110
East Harlem,Other,2014,Percent,0.0229,111
Upper East Side,Other,2014,Percent,0.02203,108
Upper West Side,Other,2014,Percent,0.02641,107
Chelsea/Clinton,Other,2014,Percent,0.03158,104
Midtown Business District,Other,2014,Percent,0.03158,105
Murray Hill/Stuyvesant,Other,2014,Percent,0.02898,106
Lower East Side,Other,2014,Percent,0.03296,103
Battery Park/Tribeca,Other,2014,Percent,0.03464,101
Greenwich Village,Other,2014,Percent,0.03464,102
Tottenville,Other,2014,Percent,0.00882,503
South Beach,Other,2014,Percent,0.01228,502
